genus,species,cultivar,gender,common_name,usda_code,itree_code,flowering,flower_time,fall_color,edible,fruiting_time,wildlife,native,webpage_link
oncoba,routledge,,,Fried Egg Plant,,,,,,,,,,
chrysophyllum,oliviforme,,,Tarsi,,,,,,,,,,
diospyros,melanoxylon,,,Temru,,,,,,,,,,
annona,muricata,,,Hanuman Phal,,,,,,,,,,
miliusa,tomentosa,,,Humb,,,,,,,,,,
chrysophyllum,cainito,,,Star Apple,,,,,,,,,,
terminalia,arjuna,,,Arjun,,,,,,,,,,
terminalia,cuneata,,,Arjun,,,,,,,,,,
terminalia,elliptica,,,Arjun,,,,,,,,,,
alangium,salvifolium,,,Ankol,,,,,,,,,,
buchanania,cochinchinensis,,,Charoli,,,,,,,,,,
diospyros,peregrina,,,Temburni,,,,,,,,,,
magnolia,grandiflora,,,Magnolia,,,,,,,,,,
mangifera,indica,,,Amba,,,,,,,,,,
ravenala,madagascariensis,,,Traveler's Palm,,,,,,,,,,
ficus,natalensis,,,Triangle Leaf Tree,,,,,,,,,,
phyllanthus,acidus,,,Ray Awala,,,,,,,,,,
maytenus,rothiana,,,Henkal,,,,,,,,,,
maytenus,senegalensis,,,Henkal,,,,,,,,,,
populus,deltoides,,,Poplar,,,,,,,,,,
cordia,dichotoma,,,Bhokar,,,,,,,,,,
cordia,macleodii,,,Bhokar,,,,,,,,,,
hura,crepitans,,,Sandbox Tree,,,,,,,,,,
jatropha,integerrima,,,Fiddle Head Jatropha,,,,,,,,,,
jatropha,pandurifolia,,,Fiddle Head Jatropha,,,,,,,,,,
thespesia,populnea,,,Paras Bhendi,,,,,,,,,,
mallotus,philippensis,,,Kapila,,,,,,,,,,
prunus,serrulata,,,Cherry Blossom,,,,,,,,,,
barringtonia,acutangula,,,Newar,,,,,,,,,,
bixa,orellana,,,Shedri,,,,,,,,,,
ficus,arnottiana,,,Pimpal,,,,,,,,,,
ficus,religiosa,,,Pimpal,,,,,,,,,,
kleinhovia,hospita,,,Tree Antigonon,,,,,,,,,,
coccoloba,uvifera,,,Sea-Grape Tree,,,,,,,,,,
morus,alba,,,Tuti,,,,,,,,,,
cordia,sebestena,,,Scarlet Cordia,,,,,,,,,,
ficus,benghalensis,,,Wad,,,,,,,,,,
ficus,benghalensis,,,Wad,,,,,,,,,,
ficus,mollis,,,Kallu Goli,,,,,,,,,,
grewia,asiatica,,,Phalsa,,,,,,,,,,
careya,arborea,,,Kumbha,,,,,,,,,,
pterygota,alata,,,Buddha Coconut,,,,,,,,,,
sterculia,alata,,,Buddha Coconut,,,,,,,,,,
ficus,carica,,,Anjeer,,,,,,,,,,
ficus,spp,,,Anjeer,,,,,,,,,,
semecarpus,anacardium,,,Bibba,,,,,,,,,,
ficus,drupacea,,,Burali Wad,,,,,,,,,,
ficus,lyrata,,,Fiddleleaf Fig,,,,,,,,,,
ficus,mysorensis,,,Burali Wad,,,,,,,,,,
givotia,rottleriformis,,,Panki,,,,,,,,,,
terminalia,catappa,,,Badam,,,,,,,,,,
barringtonia,asiatica,,,Samudraphal,,,,,,,,,,
lawsonia,inermis,,,Mendi,,,,,,,,,,
malpighia,glabra,,,Barbados Cherry,,,,,,,,,,
memecylon,umbellatum,,,Anjani,,,,,,,,,,
meyna,laxiflora,,,Alu,,,,,,,,,,
santalum,album,,,Chandan,,,,,,,,,,
osmanthus,fragrans,,,Tea Olive,,,,,,,,,,
premna,obtusifolia,,,Agnimanth,,,,,,,,,,
strychnos,nuxvomica,,,Kajra,,,,,,,,,,
tabernaemontana,coronaria,,,Tagar,,,,,,,,,,
garcinia,livingstonei,,,African Mangosteine,,,,,,,,,,
olea,dioica,,,Par Jambhul,,,,,,,,,,
garcinia,indica,,,Kokam,,,,,,,,,,
pimenta,dioica,,,Allspice,,,,,,,,,,
cassine,glauca,,,Bhutiya,,,,,,,,,,
gardenia,angusta,,,,,,,,,,,,,
gardenia,resinifera,,,Dikemali,,,,,,,,,,
citharexylum,spinosum,,,Seetaranjan,,,,,,,,,,
coffea,arabica,,,Coffee,,,,,,,,,,
crescentia,alata,,,Kalabash,,,,,,,,,,
crescentia,cujete,,,Kalabash,,,,,,,,,,
lagerstroemia,microcarpa,,,Nana,,,,,,,,,,
lagerstroemia,parviflora,,,Nana,,,,,,,,,,
holarrhena,pubescens,,,Kuda,,,,,,,,,,
wrightia,arborea,,,Tambada Kuda,,,,,,,,,,
ixora,pavetta,,,Raykuda,,,,,,,,,,
wrightia,tinctoria,,,Kala Kuda,,,,,,,,,,
morinda,citrifolia,,,,,,,,,,,,,
Morinda,pubescens,,,Bartondi,,,,,,,,,,
syzygium,jambos,,,Jamb,,,,,,,,,,
calophyllum,inophyllum,,,Undi,,,,,,,,,,
lagerstroemia,reginae,,,Tamhan,,,,,,,,,,
lagerstroemia,thorellii,,,,,,,,,,,,,
anthocephalus,cadamba,,,,,,,,,,,,,
euphorbia,leucocephala,,,Snow Bush,,,,,,,,,,
neolamarckia,cadamba,,,Kadamb,,,,,,,,,,
olea,europaea,,,Olive Tree,,,,,,,,,,
punica,granatum,,,Dalimb,,,,,,,,,,
cinnamomum,camphora,,,Dalchini,,,,,,,,,,
cinnamomum,verum,,,Dalchini,,,,,,,,,,
mesua,ferrea,,,Nagchapha,,,,,,,,,,
eucalyptus,citriodora,,,Nilgiri,,,,,,,,,,
eucalyptus,globulus,,,Nilgiri,,,,,,,,,,
eucalyptus,tereticornis,,,Nilgiri,,,,,,,,,,
acacia,auriculiformis,,,Austalian Babhul,,,,,,,,,,
acacia,mangium,,,Austalian Babhul,,,,,,,,,,
alstonia,macrophylla,,,Motha Satween,,,,,,,,,,
alstonia,scholaris,,,Satween,,,,,,,,,,
melaleuca,bracteata,,,Golden Bottel Brush,,,,,,,,,,
melaleuca,leucadendron,,,Golden Bottel Brush,,,,,,,,,,
callistemon,citrinus,,,Bottle Brush,,,,,,,,,,
cascabela,thevetia,,,Bitti,,,,,,,,,,
thevetia,peruviana,,,Bitti,,,,,,,,,,
nerium,indicum,,,Kanher,,,,,,,,,,
pachypodium,lamerei,,,Madagascar Palm,,,,,,,,,,
ceriscoides,turgida,,,Phetra,,,,,,,,,,
petrea,arborea,,,Petrea,,,,,,,,,,
psidium,guajava,,,Peru,,,,,,,,,,
syzygium,aromaticum,,,Jambhul,,,,,,,,,,
syzygium,cumini,,,Jambhul,,,,,,,,,,
syzygium,heyneanum,,,Jambhul,,,,,,,,,,
calotropis,gigantea,,,mandar,,,,,,,,,,
mammea,suriga,,,Surangi,,,,,,,,,,
cerbera,manghas,,,Sukanu,,,,,,,,,,
terminalia,mantaly,,,Madagascar Almond,,,,,,,,,,
catunaregam,spinosa,,,Gela,,,,,,,,,,
lagerstroemia,indica,,,Gulmendi,,,,,,,,,,
clerodendrum,multiflorum,,,Iran,,,,,,,,,,
hamelia,patens,,,Fire Bush,,,,,,,,,,
duranta,erecta,,,Duranta,,,,,,,,,,
euphorbia,cotinifolia,,,Copper Plant,,,,,,,,,,
mitragyna,parvifolia,,,Kalam,,,,,,,,,,
nyctanthes,arbor-tristis,,,Parijatak,,,,,,,,,,
eucalyptus,spp,,,Nilgiri,,,,,,,,,,
mussaenda,erythrophylla,,,Mussaenda,,,,,,,,,,
gardenia,uliginosa,,,Pandhara,,,,,,,,,,
gmelina,arborea,,,Shiwan,,,,,,,,,,
tamilnadia,uliginosa,,,Pandhara,,,,,,,,,,
haldina,cordifolia,,,Hedu,,,,,,,,,,
trewia,nudiflora,,,Petari,,,,,,,,,,
clusia,rosea,,,Pitch Apple,,,,,,,,,,
gardenia,latifolia,,,Pendro,,,,,,,,,,
ficus,hispida,,,Kala Umber,,,,,,,,,,
plumeria,pudica,,,Pandhra Chapha,,,,,,,,,,
plumeria,obtusata,,,Lal Chapha,,,,,,,,,,
plumeria,rubra,,,Lal Chapha,,,,,,,,,,
tectona,grandis,,,Sag,,,,,,,,,,
clausena,indica,,,Ran Kadhilimb,,,,,,,,,,
murraya,koenigii,,,Kadhilimb,,,,,,,,,,
ailanthus,excelsa,,,Maharukh,,,,,,,,,,
harpullia,zanguebarica,,,Black Pearl,,,,,,,,,,
dalbergia,melanoxylon,,,Black Wood,,,,,,,,,,
grevillea,robusta,,,Silver Oak,,,,,,,,,,
dalbergia,lanceolaria,,,Dandus,,,,,,,,,,
dalbergia,lanceolaria,,,Phanshi,,,,,,,,,,
filicium,decipiens,,,Fern Tree,,,,,,,,,,
simarouba,glauca,,,Laxmi Taru,,,,,,,,,,
dalbergia,sissoo,,,Shisav,,,,,,,,,,
murraya,paniculata,,,Kunti,,,,,,,,,,
cassia,spectabilis,,,Spectacular Cassia,,,,,,,,,,
dalbergia,latifolia,,,Shisam,,,,,,,,,,
senna,alata,,,Spectacular Cassia,,,,,,,,,,
senna,spectabilis,,,Spectacular Cassia,,,,,,,,,,
bursera,delpechiana,,,Tree of Fragrance,,,,,,,,,,
bursera,penicillata,,,Tree of Fragrance,,,,,,,,,,
parmentiera,cereifera,,,Candle Tree,,,,,,,,,,
schinus,terebinthifolius,,,Brazillian Pepper,,,,,,,,,,
spondias,pinnata,,,Ambada,,,,,,,,,,
heterophragma,quadriloculare,,,Waras,,,,,,,,,,
spathodea,campanulata,,,Pichkari,,,,,,,,,,
erythrina,blakei,,,Cockspur Coral Tree,,,,,,,,,,
erythrina,crista-galli,,,Cockspur Coral Tree,,,,,,,,,,
toona,hexandra,,,Toon,,,,,,,,,,
cassia,fistula,,,Amaltas,,,,,,,,,,
litchi,chinensis,,,Litchi,,,,,,,,,,
nephelium,chinensis,,,Litchi,,,,,,,,,,
sambucus,canadensis,,,Sambucus,,,,,,,,,,
markhamia,platycalyx,,,Markhamia,,,,,,,,,,
stereospermum,colais,,,Padal,,,,,,,,,,
stereospermum,colais,,,Padal,,,,,,,,,,
canarium,ovatum,,,Pilinut,,,,,,,,,,
schleichera,oleosa,,,Kusumb,,,,,,,,,,
haplophragma,adenophyllum,,,Katsagon,,,,,,,,,,
saraca,asoca,,,Seeta Ashok,,,,,,,,,,
azadirachta,indica,,,Kadulimb,,,,,,,,,,
khaya,grandifoliola,,,Large-leaved Khaya,,,,,,,,,,
swietenia,macrophylla,,,Mahogany,,,,,,,,,,
swietenia,mahagoni,,,Mahogany,,,,,,,,,,
garuga,pinnata,,,Kakad,,,,,,,,,,
aegle,marmelos,,,Bel,,,,,,,,,,
tecoma,gaudichaudi,,,Tecoma,,,,,,,,,,
tecoma,stans,,,Tecoma,,,,,,,,,,
brownea,coccinea,,,Flame Bean,,,,,,,,,,
sapindus,emarginatus,,,Ritha,,,,,,,,,,
sapindus,laurifolius,,,Ritha,,,,,,,,,,
amherstia,nobilis,,,Urvashi,,,,,,,,,,
vitex,altissima,,,Balage,,,,,,,,,,
vitex,negundo,,,Balage,,,,,,,,,,
wallichia,disticha,,,,,,,,,,,,,
tamarindus,indica,,,Chinch,,,,,,,,,,
cassia,roxburghii,,,Red Cassia,,,,,,,,,,
cassia,javanica,,,Jawa Cassia,,,,,,,,,,
cassia,javanica,,,Jawa Cassia,,,,,,,,,,
sesbania,grandiflora,,,Hadga,,,,,,,,,,
sesbania,sesban,,,Hadga,,,,,,,,,,
cassia,grandis,,,Horse Cassia,,,,,,,,,,
chloroxylon,swietenia,,,Behru,,,,,,,,,,
cassia,renigera,,,Gulabi Bahawa,,,,,,,,,,
cassia,surattensis,,,Motha Tarwad,,,,,,,,,,
senna,siamea,,,Motha Tarwad,,,,,,,,,,
senna,surattensis,,,Motha Tarwad,,,,,,,,,,
averrhoa,bilimbi,,,Bimbal,,,,,,,,,,
pterocarpus,marsupium,,,Beeja,,,,,,,,,,
pterocarpus,santalinus,,,Beeja,,,,,,,,,,
castanospermum,australe,,,Australian Chestnut,,,,,,,,,,
pterocarpus,indicus,,,Padauk,,,,,,,,,,
pterocarpus,indicus,,,Padauk,,,,,,,,,,
khaya,anthotheca,,,Khaya,,,,,,,,,,
khaya,senegalensis,,,Khaya,,,,,,,,,,
kigelia,africana,,,Brahmadand,,,,,,,,,,
kigelia,pinnata,,,Brahmadand,,,,,,,,,,
Amoora,rohituka,,,Raktarohida,,,,,,,,,,
aphanamixis,polystachya,,,Raktarohida,,,,,,,,,,
lannea,coromandelica,,,Moi,,,,,,,,,,
guaiacum,officinale,,,Gum Guaiacum,,,,,,,,,,
haematoxylon,campechianum,,,Raktachandan,,,,,,,,,,
hardwickia,binata,,,Anjan,,,,,,,,,,
tecoma,smithii,,,Dwarf Tecoma,,,,,,,,,,
balanites,aegyptiaca,,,Hinganbet,,,,,,,,,,
feronia,elephantum,,,Kavath,,,,,,,,,,
limonia,acidissima,,,Kavath,,,,,,,,,,
boswellia,serrata,,,Salai,,,,,,,,,,
dolichandrone,falcata,,,Medhshingi,,,,,,,,,,
averrhoa,carambola,,,Kamrak,,,,,,,,,,
gliricidia,sepium,,,Giripushpa,,,,,,,,,,
chukrasia,tabularis,,,Dalmara,,,,,,,,,,
millettia,peguensis,,,Lal Karanj,,,,,,,,,,
crateva,magna,,,Vaywaran,,,,,,,,,,
pongamia,pinnata,,,Karanj,,,,,,,,,,
erythrina,suberosa,,,Buch Panagara,,,,,,,,,,
schrebera,swietenioides,,,Mokha,,,,,,,,,,
erythrina,variegata,,,Pangara,,,,,,,,,,
ougeinia,oojeinensis,,,Kala Palas,,,,,,,,,,
adenanthera,pavonina,,,Palas,,,,,,,,,,
butea,monosperma,,,Ratangunj,,,,,,,,,,
albizia,lucidor,,,Potka Shirish,,,,,,,,,,
calliandra,haematocephala,,,Powder Puff,,,,,,,,,,
calliandra,portoricensis,,,Powder Puff,,,,,,,,,,
acrocarpus,fraxinifolius,,,Tokphal,,,,,,,,,,
jacaranda,mimosifolia,,,Neelmohor,,,,,,,,,,
acacia,planifrons,,,Chhatri Babhul,,,,,,,,,,
dichrostachys,cinera,,,Sigamkathi,,,,,,,,,,
acacia,catechu,,,Khair,,,,,,,,,,
acacia,chundra,,,Khair,,,,,,,,,,
parkinsonia,aculeata,,,Vedi Babhul,,,,,,,,,,
acacia,eburnea,,,Dev Babhul,,,,,,,,,,
acacia,farnesiana,,,Dev Babhul,,,,,,,,,,
acacia,leucophloea,,,Hivar,,,,,,,,,,
acacia,nilotica,,,Babhul,,,,,,,,,,
acacia,nilotica,,,Babhul,,,,,,,,,,
caesalpinia,coriaria,,,Dividivi,,,,,,,,,,
acacia,ferruginea,,,Pandhra Khair,,,,,,,,,,
albizia,amara,,,Kala Shirish,,,,,,,,,,
caesalpinia,pulcherrima,,,Shankasur,,,,,,,,,,
colvillea,racemosa,,,Manimohor,,,,,,,,,,
delonix,regia,,,Gulmohor,,,,,,,,,,
leucaena,latisiliqua,,,Subabhul,,,,,,,,,,
parkia,biglandulosa,,,Chenduphali,,,,,,,,,,
prosopis,cineraria,,,Shami,,,,,,,,,,
prosopis,juliflora,,,Shami,,,,,,,,,,
albizia,odoratissima,,,Chinchva,,,,,,,,,,
peltophorum,africanum,,,Tambadsheng,,,,,,,,,,
peltophorum,pterocarpum,,,Tambadsheng,,,,,,,,,,
albizia,lebbeck,,,Shirish,,,,,,,,,,
albizia,procera,,,Kinhai,,,,,,,,,,
caesalpinia,ferrea,,,Brazillian Ironwood,,,,,,,,,,
moringa,oleifera,,,Shewga,,,,,,,,,,
pithecellobium,dulce,,,Vilayati Chinch,,,,,,,,,,
samanea,saman,,,Rain Tree,,,,,,,,,,
melia,azedarach,,,Bakan Neem,,,,,,,,,,
melia,dubia,,,Bakan Neem,,,,,,,,,,
millingtonia,hortensis,,,Buch,,,,,,,,,,
oroxylum,indicum,,,Tetu,,,,,,,,,,
radermachera,xylocarpa,,,Khadshingi,,,,,,,,,,
adansonia,digitata,,,Gorakh Chinch,,,,,,,,,,
joannesia,princeps,,,Arara Nut,,,,,,,,,,
ceiba,pentandra,,,Pandhri Sawar,,,,,,,,,,
ceiba,speciosa,,,Delhi Sawar,,,,,,,,,,
chorisia,speciosa,,,Delhi Sawar,,,,,,,,,,
brassaia,actinophylla,,,Umbrella Tree,,,,,,,,,,
schefflera,actinophylla,,,Umbrella Tree,,,,,,,,,,
pseudobombax,ellipticum,,,Shaving Brush,,,,,,,,,,
sterculia,foetida,,,Jungli Badam,,,,,,,,,,
sterculia,guttata,,,Jungli Badam,,,,,,,,,,
tabebuia,sp.,,,,,,,,,,,,,
bombax,ceiba,,,Sawar,,,,,,,,,,
tabebuia,rosea,,,Pink Trumpet,,,,,,,,,,
tabebuia,argentea,,,Golden Trumpet,,,,,,,,,,
tabebuia,pallida,,,Purple Trumpet,,,,,,,,,,
tabebuia,avellanedae,,,Taheboo Tree,,,,,,,,,,
tabebuia,chrysantha,,,Yellow Trumpet Tree,,,,,,,,,,
tabebuia,chrysotricha,,,Yellow Trumpet Tree,,,,,,,,,,
adonidia,merrillii,,,Manila Palm,,,,,,,,,,
veitchia,merrillii,,,Manila Palm,,,,,,,,,,
areca,catechu,,,Supari,,,,,,,,,,
carpentaria,accuminata,,,Carpentaria Palm,,,,,,,,,,
caryota,mitis,,,Bherli Mad,,,,,,,,,,
caryota,urens,,,Bherli Mad,,,,,,,,,,
caryota,rumphiana,,,Bherli Mad,,,,,,,,,,
chambeyronia,macrocarpa,,,Red Leaf Palm,,,,,,,,,,
dictyosperma,album,,,Hurricane Palm,,,,,,,,,,
dypsis,decaryi,,,Triangle Palm,,,,,,,,,,
Neodypsis,decaryi,,,Triangle Palm,,,,,,,,,,
dypsis,leptocheilos,,,Red Neck Palm,,,,,,,,,,
howea,forsteriana,,,Kentia Palm,,,,,,,,,,
hyophorbe,lagenicaulis,,,Champagne Palm,,,,,,,,,,
hyophorbe,verschaffeltii,,,Champagne Palm,,,,,,,,,,
phoenicophorium,borsigianum,,,Thief Palm,,,,,,,,,,
ravenea,rivularis,,,Majesty Palm,,,,,,,,,,
roystonea,oleracea,,,Bottle Palm,,,,,,,,,,
roystonea,regia,,,Bottle Palm,,,,,,,,,,
veitchia,arecina,,,Montgomery Palm,,,,,,,,,,
