,Bignoniaceae
,Caesalpiniceae
,Meliaceae
,Meliaceae
,Meliaceae
,Meliaceae
,Burseraceae
,Rutaceae
,Bignoniaceae
,Bignoniaceae
,Caesalpiniceae
,Sapindaceae
,Sapindaceae
,Caesalpiniceae
,Verbenaceae
,Verbenaceae
,Caesalpiniceae
,Caesalpiniceae
,Caesalpiniceae
,Caesalpiniceae
,Fabaceae
,Fabaceae
,Caesalpiniceae
,Meliaceae
,Caesalpiniceae
,Caesalpiniceae
,Caesalpiniceae
,Caesalpiniceae
,Averrhoaceae
,Fabaceae
,Fabaceae
,Fabaceae
,Fabaceae
,Fabaceae
,Meliaceae
,Meliaceae
,Bignoniaceae
,Bignoniaceae
,Meliaceae
,Meliaceae
,Anacardiaceae
,Zygophyllaceae
,Mimosaceae
,Caesalpiniceae
,Bignoniaceae
,Balanitaceae
,Rutaceae
,Rutaceae
,Burseraceae
,Bignoniaceae
,Averrhoaceae
,Fabaceae
,Meliaceae
,Fabaceae
,Capparaceae
,Fabaceae
,Fabaceae
,Oleaceae
,Fabaceae
,Fabaceae
,Fabaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Caesalpiniceae
,Bignoniaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Caesalpiniceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Caesalpiniceae
,Mimosaceae
,Mimosaceae
,Caesalpiniceae
,Caesalpiniceae
,Caesalpiniceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Mimosaceae
,Caesalpiniceae
,Caesalpiniceae
,Mimosaceae
,Mimosaceae
,Caesalpiniceae
,Moringaceae
,Mimosaceae
,Mimosaceae
,Meliaceae
,Meliaceae
,Bignoniaceae
,Bignoniaceae
,Bignoniaceae
,Bombacaceae
,Euphorbiaceae
,Bombacaceae
,Bombacaceae
,Bombacaceae
,Araliaceae
,Araliaceae
,Bombacaceae
,Sterculiaceae
,Sterculiaceae
,Bignoniaceae
,Bombacaceae
,Bignoniaceae
,Bignoniaceae
,Bignoniaceae
,Bignoniaceae
,Bignoniaceae
,Bignoniaceae
,Cupressaceae
,Pinaceae
,Pinaceae
,Cupressaceae
,Cupressaceae
,Cupressaceae
,Cupressaceae
,Podocarpaceae
,Podocarpaceae
,Cupressaceae
,Cupressaceae
,Araucariaceae
,Araucariaceae
,Araucariaceae
,Araucariaceae
,Araucariaceae
,Araucariaceae
,Podocarpaceae
,Taxodiaceae
,Euphorbiaceae
,Burseraceae
,Sapindaceae
,Mimosaceae
